[2026-06-10T11:00:05.325Z] GET http://localhost:5173/api/clusters/2/status → 200 (15ms, 560B)
[2026-06-10T11:00:05.325Z] GET http://localhost:5173/api/clusters/3/status → 200 (18ms, 696B)
[2026-06-10T11:00:10.292Z] GET http://localhost:5173/api/clusters → 200 (9ms, 155B)
[2026-06-10T11:00:10.294Z] GET http://localhost:5173/api/dashboard/summary → 200 (11ms, 131B)
[2026-06-10T11:00:10.294Z] GET http://localhost:5173/api/dashboard/sw-status → 200 (16ms, 619B)
[2026-06-10T11:00:10.294Z] GET http://localhost:5173/api/dashboard/alerts → 200 (17ms, 554B)
[2026-06-10T11:00:10.294Z] GET http://localhost:5173/api/dashboard/docker → 200 (21ms, 384B)
[2026-06-10T11:00:10.315Z] GET http://localhost:5173/api/clusters/1/status → 200 (7ms, 703B)
[2026-06-10T11:00:10.316Z] GET http://localhost:5173/api/clusters/2/status → 200 (11ms, 560B)
[2026-06-10T11:00:10.316Z] GET http://localhost:5173/api/clusters/3/status → 200 (14ms, 697B)
[2026-06-10T11:00:15.284Z] GET http://localhost:5173/api/clusters → 200 (16ms, 155B)
[2026-06-10T11:00:15.284Z] GET http://localhost:5173/api/dashboard/summary → 200 (16ms, 131B)
[2026-06-10T11:00:15.284Z] GET http://localhost:5173/api/dashboard/sw-status → 200 (21ms, 619B)
[2026-06-10T11:00:15.285Z] GET http://localhost:5173/api/dashboard/alerts → 200 (23ms, 554B)
[2026-06-10T11:00:15.285Z] GET http://localhost:5173/api/dashboard/docker → 200 (28ms, 384B)
[2026-06-10T11:00:15.313Z] GET http://localhost:5173/api/clusters/1/status → 200 (10ms, 706B)
[2026-06-10T11:00:15.314Z] GET http://localhost:5173/api/clusters/2/status → 200 (14ms, 560B)
[2026-06-10T11:00:15.314Z] GET http://localhost:5173/api/clusters/3/status → 200 (15ms, 699B)
[2026-06-10T11:00:20.283Z] GET http://localhost:5173/api/clusters → 200 (16ms, 155B)
[2026-06-10T11:00:20.286Z] GET http://localhost:5173/api/dashboard/summary → 200 (23ms, 131B)
[2026-06-10T11:00:20.286Z] GET http://localhost:5173/api/dashboard/sw-status → 200 (26ms, 619B)
[2026-06-10T11:00:20.286Z] GET http://localhost:5173/api/dashboard/alerts → 200 (29ms, 554B)
[2026-06-10T11:00:20.286Z] GET http://localhost:5173/api/dashboard/docker → 200 (35ms, 384B)
[2026-06-10T11:00:20.321Z] GET http://localhost:5173/api/clusters/1/status → 200 (24ms, 700B)
[2026-06-10T11:00:20.321Z] GET http://localhost:5173/api/clusters/2/status → 200 (25ms, 559B)
[2026-06-10T11:00:20.321Z] GET http://localhost:5173/api/clusters/3/status → 200 (26ms, 697B)
[2026-06-10T11:00:24.336Z] GET http://127.0.0.1:5173/ → 200 (11ms, 1707B)
